source,target,value,groupsource,grouptarget
Music,TripathiPravina,1,11,1
Music,sherifnati,1,11,1
Music,KallieMceino,1,11,1
Music,born_the_brave_,1,11,1
Music,ayestarxbabe,1,11,1
Music,VSgrignoli,1,11,1
Music,jaMyx25,1,11,1
Music,MiserableMadge,1,11,1
Music,aaminah_n,1,11,1
Music,Abbansymkm,1,11,1
Music,ItsArceus,1,11,1
Music,BubwitLiiit,1,11,1
Music,DearJaQuel,1,11,1
Music,MeeshHoran,1,11,1
Music,carlymalcolmx,1,11,1
TripathiPravina,sherifnati,1,1,1
TripathiPravina,KallieMceino,1,1,1
TripathiPravina,born_the_brave_,1,1,1
TripathiPravina,ayestarxbabe,1,1,1
TripathiPravina,VSgrignoli,1,1,1
TripathiPravina,jaMyx25,1,1,1
TripathiPravina,MiserableMadge,1,1,1
TripathiPravina,aaminah_n,1,1,1
TripathiPravina,AwehMeaghan,1,1,2
TripathiPravina,HurricaneEmily7,1,1,2
sherifnati,KallieMceino,1,1,1
sherifnati,born_the_brave_,1,1,1
sherifnati,ayestarxbabe,1,1,1
sherifnati,VSgrignoli,1,1,1
sherifnati,homicidxl,1,1,2
sherifnati,KidraxhlCookies,1,1,2
KallieMceino,VSgrignoli,1,1,1
KallieMceino,jaMyx25,1,1,1
AwehMeaghan,HurricaneEmily7,1,2,2
HurricaneEmily7,homicidxl,1,2,2
homicidxl,AwehMeaghan,1,2,2
KidraxhlCookies,HurricaneEmily7,1,2,2
Sports,AwehMeaghan,1,12,2
Sports,HurricaneEmily7,1,12,2
Sports,homicidxl,1,12,2
Sports,KidraxhlCookies,1,12,2
